radius  u   sigma_rr   sigma_tt   sigma_zz  eps_rr   eps_tt   eps_zz  eps_p_rr   eps_p_tt   eps_p_zz
3.8596  2.56039e-05   0.000786769   0.0140171   0.00296078   -1.30441e-06   6.63382e-06   0   -6.35275e-22   -8.47033e-22   -6.35275e-22
3.85765  2.56064e-05   0.000780084   0.0140238   0.00296078   -1.30842e-06   6.63783e-06   0   -4.23516e-22   0   -2.11758e-22
3.8557  2.5609e-05   0.00077339   0.0140305   0.00296079   -1.31244e-06   6.64185e-06   0   -6.35275e-22   0   -4.23516e-22
3.85375  2.56116e-05   0.000766685   0.0140373   0.00296079   -1.31646e-06   6.64588e-06   0   -6.35275e-22   -8.47033e-22   -4.23516e-22
3.8518  2.56141e-05   0.00075997   0.014044   0.00296079   -1.32049e-06   6.64991e-06   0   -4.23516e-22   0   -4.23516e-22
3.84985  2.56167e-05   0.000753245   0.0140507   0.00296079   -1.32453e-06   6.65395e-06   0   -8.47033e-22   0   -6.35275e-22
3.8479  2.56193e-05   0.00074651   0.0140574   0.00296079   -1.32857e-06   6.65799e-06   0   -4.23516e-22   0   -4.23516e-22
3.84595  2.56219e-05   0.000739764   0.0140642   0.00296079   -1.33262e-06   6.66204e-06   0   -2.11758e-22   0   -2.11758e-22
3.844  2.56245e-05   0.000733008   0.014071   0.00296079   -1.33667e-06   6.6661e-06   0   -6.35275e-22   0   -6.35275e-22
3.84205  2.56271e-05   0.000726242   0.0140777   0.0029608   -1.34073e-06   6.67016e-06   0   -4.23516e-22   0   -2.11758e-22
3.8401  2.56297e-05   0.000719466   0.0140845   0.0029608   -1.3448e-06   6.67423e-06   0   -4.23516e-22   -8.47033e-22   -4.23516e-22
3.83815  2.56323e-05   0.000712679   0.0140913   0.0029608   -1.34887e-06   6.67831e-06   0   -4.23516e-22   0   -2.11758e-22
3.8362  2.5635e-05   0.000705882   0.0140981   0.0029608   -1.35295e-06   6.68239e-06   0   -4.23516e-22   -8.47033e-22   -4.23516e-22
3.83425  2.56376e-05   0.000699074   0.0141049   0.0029608   -1.35704e-06   6.68648e-06   0   -2.11758e-22   -1.69407e-21   -2.11758e-22
3.8323  2.56403e-05   0.000692256   0.0141118   0.0029608   -1.36113e-06   6.69057e-06   0   -2.11758e-22   8.47033e-22   -2.11758e-22
3.83035  2.56429e-05   0.000685428   0.0141186   0.0029608   -1.36522e-06   6.69467e-06   0   -4.23516e-22   8.47033e-22   -4.23516e-22
3.8284  2.56456e-05   0.000678589   0.0141254   0.0029608   -1.36933e-06   6.69878e-06   0   -2.11758e-22   0   -2.11758e-22
3.82645  2.56483e-05   0.00067174   0.0141323   0.00296081   -1.37344e-06   6.70289e-06   0   -2.11758e-22   0   0
3.8245  2.5651e-05   0.000664881   0.0141392   0.00296081   -1.37756e-06   6.70701e-06   0   -4.23516e-22   8.47033e-22   -4.23516e-22
3.82255  2.56536e-05   0.00065801   0.014146   0.00296081   -1.38168e-06   6.71113e-06   0   -2.11758e-22   -8.47033e-22   -2.11758e-22
3.8206  2.56563e-05   0.00065113   0.0141529   0.00296081   -1.38581e-06   6.71526e-06   0   -2.11758e-22   0   -2.11758e-22
3.81865  2.5659e-05   0.000644239   0.0141598   0.00296081   -1.38994e-06   6.7194e-06   0   -6.35275e-22   8.47033e-22   -4.23516e-22
3.8167  2.56618e-05   0.000637337   0.0141667   0.00296081   -1.39409e-06   6.72355e-06   0   -6.35275e-22   0   -4.23516e-22
3.81475  2.56645e-05   0.000630424   0.0141736   0.00296081   -1.39823e-06   6.7277e-06   0   -4.23516e-22   -8.47033e-22   -2.11758e-22
3.8128  2.56672e-05   0.000623502   0.0141806   0.00296081   -1.40239e-06   6.73185e-06   0   -4.23516e-22   -8.47033e-22   -4.23516e-22
3.81085  2.567e-05   0.000616568   0.0141875   0.00296082   -1.40655e-06   6.73602e-06   0   -8.47033e-22   8.47033e-22   -6.35275e-22
3.8089  2.56727e-05   0.000609624   0.0141945   0.00296082   -1.41072e-06   6.74019e-06   0   -4.23516e-22   8.47033e-22   -4.23516e-22
3.80695  2.56755e-05   0.000602669   0.0142014   0.00296082   -1.41489e-06   6.74436e-06   0   -4.23516e-22   0   -4.23516e-22
3.805  2.56782e-05   0.000595703   0.0142084   0.00296082   -1.41907e-06   6.74855e-06   0   -6.35275e-22   8.47033e-22   -6.35275e-22
3.80305  2.5681e-05   0.000588727   0.0142154   0.00296082   -1.42326e-06   6.75274e-06   0   -6.35275e-22   -8.47033e-22   -4.23516e-22
3.8011  2.56838e-05   0.00058174   0.0142224   0.00296082   -1.42745e-06   6.75693e-06   0   -2.11758e-22   0   -2.11758e-22
3.79915  2.56866e-05   0.000574742   0.0142294   0.00296082   -1.43165e-06   6.76113e-06   0   -4.23516e-22   -8.47033e-22   -4.23516e-22
3.7972  2.56894e-05   0.000567734   0.0142364   0.00296083   -1.43586e-06   6.76534e-06   0   -4.23516e-22   0   -2.11758e-22
3.79525  2.56922e-05   0.000560714   0.0142434   0.00296083   -1.44007e-06   6.76956e-06   0   -6.35275e-22   8.47033e-22   -6.35275e-22
3.7933  2.5695e-05   0.000553684   0.0142505   0.00296083   -1.44429e-06   6.77378e-06   0   -6.35275e-22   -8.47033e-22   -4.23516e-22
