"FailureType","Displacement:0","Displacement:1","Displacement:2","Stress:0","Stress:1","Stress:2","Stress:3","Stress:4","Stress:5","Stress:6","Stress:7","Stress:8","Strain:0","Strain:1","Strain:2","Strain:3","Strain:4","Strain:5","Strain:6","Strain:7","Strain:8","StrainPlastic:0","StrainPlastic:1","StrainPlastic:2","StrainPlastic:3","StrainPlastic:4","StrainPlastic:5","StrainPlastic:6","StrainPlastic:7","StrainPlastic:8","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0.00036493732,1.1835909e-15,0,-2.8812208,8.5545771e-06,0,8.5545771e-06,2.9405973,0,0,0,0.011874334,-0.0017358612,5.1328835e-09,0,5.1328835e-09,0.0017572345,0,0,0,0,3.4305936e-19,-1.6280805e-20,0,-1.6280805e-20,-1.6418957e-19,0,0,0,-3.8308327e-20,1,0.10919999,0.20919999,0,0
0,0.00035810005,1.0325036e-15,0,-2.7507389,0.00012969026,0,0.00012969026,2.8361354,0,0,0,0.017077936,-0.0016606937,7.7814427e-08,0,7.7814427e-08,0.0016914343,0,0,0,0,4.824565e-19,-8.1456086e-21,0,-8.1456086e-21,6.2793943e-20,0,0,0,-1.8649283e-19,1,0.1131,0.2131,0,0
0,0.0003512628,8.8141698e-16,0,-2.6202576,0.00025082548,0,0.00025082548,2.731674,0,0,0,0.02228152,-0.0015855265,1.5049569e-07,0,1.5049569e-07,0.0016256345,0,0,0,0,6.2185303e-19,-1.0443885e-23,0,-1.0443885e-23,2.8977659e-19,0,0,0,-3.3467678e-19,1,0.11699999,0.21699999,0,0
0,0.00034554795,7.9864497e-16,0,-2.5566316,8.4251791e-05,0,8.4251791e-05,2.6370027,0,0,0,0.016074114,-0.0015436208,5.0551158e-08,0,5.0551158e-08,0.0015725618,0,0,0,0,6.9207193e-19,1.4975302e-20,0,1.4975302e-20,-7.3292093e-20,0,0,0,-2.4898917e-19,1,0.1209,0.2209,0,0
0,0.00033983454,7.1596979e-16,0,-2.4869339,1.7982509e-05,0,1.7982509e-05,2.5496533,0,0,0,0.012543494,-0.0014996852,1.0789572e-08,0,1.0789572e-08,0.001522269,0,0,0,0,6.1497591e-19,1.3911039e-20,0,1.3911039e-20,-8.1965818e-20,0,0,0,-2.7353588e-19,1,0.1248,0.22480001,0,0
0,0.00033412117,6.3329498e-16,0,-2.4172363,-4.8286518e-05,0,-4.8286518e-05,2.4623041,0,0,0,0.0090128882,-0.0014557499,-2.8971863e-08,0,-2.8971863e-08,0.0014719765,0,0,0,0,5.3788014e-19,1.2846778e-20,0,1.2846778e-20,-9.0639505e-20,0,0,0,-2.980825e-19,1,0.12869999,0.2287,0,0
0,0.00032840777,5.506198e-16,0,-2.3475385,-0.0001145558,0,-0.0001145558,2.3749547,0,0,0,0.005482269,-0.0014118142,-6.8733449e-08,0,-6.8733449e-08,0.0014216837,0,0,0,0,4.6078411e-19,1.1782514e-20,0,1.1782514e-20,-9.931323e-20,0,0,0,-3.2262921e-19,1,0.13260001,0.2326,0,0
0,0.00032269437,4.6794494e-16,0,-2.2778411,-0.00018082483,0,-0.00018082483,2.2876055,0,0,0,0.0019516632,-0.0013678789,-1.0849489e-07,0,-1.0849489e-07,0.0013713911,0,0,0,0,3.8368835e-19,1.0718254e-20,0,1.0718254e-20,-1.0798692e-19,0,0,0,-3.4717579e-19,1,0.1365,0.23649999,0,0
0,0.00031738312,4.0246225e-16,0,-2.2053227,-0.0001869531,0,-0.0001869531,2.2115395,0,0,0,0.0012421601,-0.0013239424,-1.1217189e-07,0,-1.1217189e-07,0.0013261767,0,0,0,0,3.2527084e-19,9.3397747e-21,0,9.3397747e-21,-1.8986371e-19,0,0,0,-2.9712054e-19,1,0.14039999,0.2404,0,0
0,0.00031262546,3.6064683e-16,0,-2.128922,-0.0001102918,0,-0.0001102918,2.1510067,0,0,0,0.0044161817,-0.0012800053,-6.6175176e-08,0,-6.6175176e-08,0.001287953,0,0,0,0,2.9256626e-19,7.5287556e-21,0,7.5287556e-21,-3.7251084e-19,0,0,0,-1.443691e-19,1,0.14429998,0.24429999,0,0
