"FailureType","Displacement:0","Displacement:1","Displacement:2","Stress:0","Stress:1","Stress:2","Stress:3","Stress:4","Stress:5","Stress:6","Stress:7","Stress:8","Strain:0","Strain:1","Strain:2","Strain:3","Strain:4","Strain:5","Strain:6","Strain:7","Strain:8","StrainPlastic:0","StrainPlastic:1","StrainPlastic:2","StrainPlastic:3","StrainPlastic:4","StrainPlastic:5","StrainPlastic:6","StrainPlastic:7","StrainPlastic:8","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0.00028879,5.3517e-07,0,-1.7208,0.055399,0,0.055399,1.3437,0,0,0,-0.075411,-0.00098721,3.324e-05,0,3.324e-05,0.00085147,0,0,0,0,4.1542e-19,1.882e-20,0,1.882e-20,-2.8017e-19,0,0,0,-7.5482e-21,1,0.156,0.256,0,0
0,0.00028554,5.035e-07,0,-1.6944,0.054271,0,0.054271,1.3299,0,0,0,-0.072903,-0.00097289,3.2563e-05,0,3.2563e-05,0.00084167,0,0,0,0,4.0227e-19,1.8001e-20,0,1.8001e-20,-2.7252e-19,0,0,0,-4.75e-21,1,0.1599,0.2599,0,0
0,0.0002823,4.7182e-07,0,-1.668,0.053143,0,0.053143,1.3161,0,0,0,-0.070395,-0.00095858,3.1886e-05,0,3.1886e-05,0.00083187,0,0,0,0,3.8912e-19,1.7182e-20,0,1.7182e-20,-2.6487e-19,0,0,0,-1.9517e-21,1,0.1638,0.2638,0,0
0,0.00027906,4.4015e-07,0,-1.6417,0.052015,0,0.052015,1.3022,0,0,0,-0.067887,-0.00094427,3.1209e-05,0,3.1209e-05,0.00082208,0,0,0,0,3.7597e-19,1.6363e-20,0,1.6363e-20,-2.5722e-19,0,0,0,8.4654e-22,1,0.1677,0.2677,0,0
0,0.00027581,4.0847e-07,0,-1.6153,0.050887,0,0.050887,1.2884,0,0,0,-0.065379,-0.00092996,3.0532e-05,0,3.0532e-05,0.00081228,0,0,0,0,3.6282e-19,1.5544e-20,0,1.5544e-20,-2.4956e-19,0,0,0,3.6448e-21,1,0.1716,0.2716,0,0
0,0.00027257,3.768e-07,0,-1.5889,0.049759,0,0.049759,1.2746,0,0,0,-0.062871,-0.00091565,2.9855e-05,0,2.9855e-05,0.00080248,0,0,0,0,3.4967e-19,1.4725e-20,0,1.4725e-20,-2.4191e-19,0,0,0,6.443e-21,1,0.1755,0.2755,0,0
0,0.00026933,3.4512e-07,0,-1.4407,0.045684,0,0.045684,1.7483,0,0,0,0.061528,-0.00090133,2.7411e-05,0,2.7411e-05,0.0010121,0,0,0,0,6.0043e-19,3.8028e-20,0,3.8028e-20,-1.6784e-19,0,0,0,-4.8978e-19,1,0.1794,0.2794,0,0
0,0.00026608,3.1345e-07,0,-1.4213,0.047056,0,0.047056,1.7066,0,0,0,0.057054,-0.00088702,2.8233e-05,0,2.8233e-05,0.00098972,0,0,0,0,5.9571e-19,3.8019e-20,0,3.8019e-20,-1.6283e-19,0,0,0,-4.7353e-19,1,0.1833,0.2833,0,0
0,0.00026284,2.8177e-07,0,-1.4019,0.048427,0,0.048427,1.6648,0,0,0,0.052581,-0.00087271,2.9056e-05,0,2.9056e-05,0.00096735,0,0,0,0,5.9099e-19,3.8009e-20,0,3.8009e-20,-1.5782e-19,0,0,0,-4.5727e-19,1,0.1872,0.2872,0,0
0,0.0002596,2.501e-07,0,-1.3826,0.049799,0,0.049799,1.6231,0,0,0,0.048108,-0.0008584,2.9879e-05,0,2.9879e-05,0.00094499,0,0,0,0,5.8627e-19,3.7999e-20,0,3.7999e-20,-1.528e-19,0,0,0,-4.4102e-19,1,0.1911,0.2911,0,0
